"lipid","type","LogFC_cKO","PValue_cKO","FDR_cKO","LogFC_WT","PValue_WT","FDR_WT","min_PValue","min_FDR","LogFC_difference","LogFC_difference_abs","LogFC_injured_comparison","PValue_injured_comparison","FDR_injured_comparison","Min_PValue_all","min_FDR_all","LogFC_Healthy","Pvalue_healthy","FDR_healthy"
"(11Z)-eicoseneoylcarnitine","CAR",0.233474081,0.444322874,0.706855837,0.978514682,0.00346724,0.119524266,0.00346724,0.119524266,-0.745040601,0.745040601,-0.337730473,0.31878475,0.997493903,0.00346724,0.119524266,0.341268257,0.254199412,0.999751828
"(11Z,14Z)-eicosadienoylcarnitine","CAR",0.251480768,0.409944189,0.688934806,0.944178738,0.004756125,0.121224858,0.004756125,0.121224858,-0.692697969,0.692697969,-0.299178514,0.376845666,0.997493903,0.004756125,0.121224858,0.326674831,0.274955874,0.999751828
"(13Z,16Z)-docosadienoylcarnitine","CAR",-0.013675011,0.964338172,0.988939097,0.696379586,0.036129622,0.398211027,0.036129622,0.398211027,-0.710054597,0.710054597,-0.30130939,0.373473442,0.997493903,0.036129622,0.398211027,0.346167498,0.247484884,0.999751828
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine","CAR",0.25662649,0.400416998,0.685943318,0.74914266,0.024361288,0.319902177,0.024361288,0.319902177,-0.49251617,0.49251617,-0.334277336,0.323729037,0.997493903,0.024361288,0.319902177,0.090828633,0.760680502,0.999751828
"(5Z,8Z)-tetradecadienoylcarnitine","CAR",0.058891861,0.847204258,0.948589958,0.842352811,0.011551965,0.206525296,0.011551965,0.206525296,-0.78346095,0.78346095,-0.275709877,0.41524036,0.997493903,0.011551965,0.206525296,0.443212556,0.139384566,0.999751828
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine","CAR",-0.020987465,0.945297724,0.982033791,0.701938481,0.03469371,0.398211027,0.03469371,0.398211027,-0.722925946,0.722925946,-0.344669554,0.309001071,0.997493903,0.03469371,0.398211027,0.313127554,0.295245631,0.999751828
"(9Z)-3-hydroxyoctadecenoylcarnitine","CAR",0.209032979,0.4935089,0.750574771,0.771652036,0.020463196,0.29376197,0.020463196,0.29376197,-0.562619058,0.562619058,-0.209978679,0.53453461,0.997493903,0.020463196,0.29376197,0.292321516,0.328335972,0.999751828
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine","CAR",0.217297522,0.476559525,0.738519263,0.678918698,0.040977087,0.398211027,0.040977087,0.398211027,-0.461621176,0.461621176,-0.154897427,0.646573261,0.997493903,0.040977087,0.398211027,0.248204876,0.406239774,0.999751828
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine","CAR",0.251348083,0.410190551,0.688934806,0.671176992,0.0432982,0.398211027,0.0432982,0.398211027,-0.419828909,0.419828909,-0.103850567,0.758368575,0.997493903,0.0432982,0.398211027,0.25424263,0.394961473,0.999751828
"[TG(48:1)]_FA18:0","TAG",-0.662442528,0.032185019,0.171091025,-0.57721472,0.077969432,0.411955309,0.032185019,0.171091025,-0.085227808,0.085227808,0.109924238,0.744167765,0.997493903,0.032185019,0.171091025,0.135815083,0.648977089,0.999751828
"[TG(48:2)]_FA18:0","TAG",-1.205729465,0.000122478,0.003395367,-0.644514286,0.049081783,0.405941598,0.000122478,0.003395367,-0.561215179,0.561215179,-0.219799809,0.515660027,0.997493903,0.000122478,0.003395367,0.281646442,0.3462261,0.999751828
"[TG(48:2)]_FA18:1","TAG",-0.692900081,0.025155282,0.144836371,-0.574621653,0.079314372,0.411955309,0.025155282,0.144836371,-0.118278428,0.118278428,0.092300611,0.784101674,0.997493903,0.025155282,0.144836371,0.151002155,0.612870062,0.999751828
"[TG(48:3)]_FA18:0","TAG",-1.060729356,0.000688209,0.011018791,-0.679213056,0.038114173,0.398211027,0.000688209,0.011018791,-0.3815163,0.3815163,-0.060541694,0.857602221,0.997493903,0.000688209,0.011018791,0.266267194,0.373081731,0.999751828
"[TG(48:3)]_FA18:1","TAG",-1.184863542,0.000158647,0.004042768,-0.656002071,0.045188161,0.398211027,0.000158647,0.004042768,-0.528861471,0.528861471,-0.211215993,0.532140272,0.997493903,0.000158647,0.004042768,0.258485861,0.387152927,0.999751828
"[TG(50:1)]_FA18:0","TAG",-0.660907475,0.032580219,0.172341299,-0.352634386,0.281696575,0.65787796,0.032580219,0.172341299,-0.308273089,0.308273089,-0.088181333,0.793894095,0.997493903,0.032580219,0.172341299,0.165537647,0.579183821,0.999751828
"[TG(50:2)]_FA18:0","TAG",-0.68031262,0.027879521,0.156900912,-0.512159477,0.117824138,0.461172241,0.027879521,0.156900912,-0.168153143,0.168153143,0.077076103,0.819059208,0.997493903,0.027879521,0.156900912,0.188606435,0.527611343,0.999751828
"[TG(50:3)]_FA18:0","TAG",-1.224782199,9.64e-05,0.003070968,-0.690147707,0.035122677,0.398211027,9.64e-05,0.003070968,-0.534634493,0.534634493,-0.167526039,0.620020081,0.997493903,9.64e-05,0.003070968,0.307289725,0.304294228,0.999751828
"[TG(50:3)]_FA18:1","TAG",-0.728898327,0.01860702,0.113692689,-0.495740688,0.130070233,0.483164118,0.01860702,0.113692689,-0.233157639,0.233157639,0.043462699,0.897394587,0.997493903,0.01860702,0.113692689,0.218649789,0.46419547,0.999751828
