lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,AK0135,AK0140,AK0142,AK0157,AK0169,AK0139,AK0161,AK0170,AK0200,AK0202,AK0204,Blank-1x
FA(20:0),7.484843651930787,10.46276970090728,367.67732338283895,5.996765241500313e-82,8.97715756652597e-79,5,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,FA,7961.160514831543,553515.1601448059,6023808.558933258,6672667.421108246,7981.580581665039,7966.260536193848,129144.51029586792,7959.200504302979,7964.340545654297,7952.04052734375,7947.500576019287,7982.3806076049805
FA(19:0),-4.0916100616154205,10.877887320833354,131.1830094590914,2.2579948255088275e-30,1.6901091268933574e-27,5,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,FA,7954.340511322021,82892.94589614868,403670.6224937439,337770.3256263733,14175.24090576172,2527474.6073150635,15742885.01977539,21070.661556243896,15163135.976463318,7946.460529327393,7939.080551147461,10814.50089263916
LPG(19:0),2.6084288899034607,8.651799158757598,67.74658329236443,1.859187054472043e-16,9.277343401815494e-14,5,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,PG,162826.57122802734,132018.76953125,122010.1707763672,2211113.55859375,176559.6552734375,179186.7508544922,183937.95318603516,151746.9506225586,171232.19311523438,127475.068359375,159951.41247558594,88345.44665527344
PG(O-20:0),2.593609480497129,8.640865942775683,67.04521760885291,2.653505179477313e-16,9.930743134193843e-14,5,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,PG,164372.23114013672,133047.82739257813,122954.17028808594,2180103.733215332,168507.89038085938,181747.5537109375,184163.97259521484,136698.67150878906,174197.67547607422,128417.12811279295,167486.85186767578,89735.94641113281
FA(18:2),-2.49608228307779,11.379003090213931,57.10240415518638,4.1369963583592146e-14,1.2386167096927487e-11,5,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,FA,1040349.2161865234,160454.29223632813,7957.600547790527,7950.060546875,3332640.4099121094,30382811.85083008,1749622.048370361,1030637.5733642578,3706070.332885742,1180134.9066505432,1968676.159423828,191511.09341430664
LPS(19:0),2.0579121913617517,8.986177473842154,43.59619367329685,4.036233361076623e-11,1.0070402235886173e-8,5,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,PS,258540.75805664065,210622.9978027344,182826.59521484375,2203699.3083496094,290594.58239746094,281896.97998046875,309416.9831542969,234416.197265625,275406.8210449219,204500.47564697263,255756.1953125,161312.19189453125
PS(O-20:0),2.0464770908268757,8.888146440466015,43.13933008604545,5.0977141075332655e-11,1.0901825741396141e-8,5,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,PS,256120.0780029297,198072.61596679688,183947.2091064453,2106511.7364501953,265162.4606933594,267884.72021484375,294503.0241699219,227207.99743652344,273074.81994628906,192258.21459960935,253803.578125,133555.9910888672
FA(20:3),1.9226525216176562,7.7658810483366665,38.31982928447542,6.004934832820212e-10,1.1236734305914822e-7,5,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,FA,7956.24055480957,223156.93649291992,696611.2298545837,627392.7227516174,7978.120544433594,7961.540561676025,899622.7589912415,7953.980541229248,20633.40142059326,7945.320518493652,7940.040546417236,7980.980609893799
PI(38:7),1.913078670514318,10.261934836853364,37.95811765364488,7.227970564869445e-10,1.202252437289951e-7,5,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,PI,875462.5455322266,2002109.792175293,3259074.746459961,1015253.8236999512,3191525.4999694824,452580.5346679687,380938.3258666992,305529.56384277344,134219.82901000977,2377474.353790283,387633.4675292969,23601.92147064209
FA(20:1),1.7777248210361534,9.476806587447115,32.98786356266652,9.273596221565854e-9,1.3882573543684083e-6,5,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,FA,7957.380546569824,140044.98942947388,2109567.695713043,2693742.127380371,7978.540580749512,7964.540580749512,3387301.2391319275,7954.940528869629,8603.780624389648,7946.740524291992,7940.500556945801,7982.56058883667
