"lipid","type","mean1","mean2"
"Cer(d20:0/26:0(2OH))","Cer",133412.451952362,9676.9573319753
"LPG(19:0)","PG",472560.298425293,31149.5054931641
"PG(O-20:0)","PG",464061.224072266,27904.8154602051
"Cer(t18:0/26:0(2OH))","Cer",73696.3690513611,14577.3243929545
"PS(O-20:0)","PS",468406.828955078,28853.9999186198
"LPS(19:0)","PS",467944.656469727,17299.5774434408
"PG(20:0)","PG",214351.026489258,52974.2404378255
"LPG(21:0)","PG",210790.65435791,52249.0173441569
"LPS(18:0) | PS(18:0)","PS",504940.70222168,121437.956176758
"LPS(18:0) | PS(18:0)_2","PS",505624.837060547,120513.727864583
"LPS(21:0)","PS",236008.003491211,68770.5053710938
"PE(16:1)","PE",109286.903942871,228400.376182556
"PS(22:7)","PS",238126.478173828,70545.6621195475
"[TG(58:7)]_FA20:0","TAG",1302716.12227173,482240.437398275
"FA(22:0)","FA",4326459.64839478,7445954.00195312
"FA(18:1)","FA",370366.117407227,111841.695531209
"(11Z)-eicoseneoylcarnitine","CAR",969610.386988831,970411.459592183
"(11Z,14Z)-eicosadienoylcarnitine","CAR",913124.043968964,885243.70600001
"(13Z,16Z)-docosadienoylcarnitine","CAR",805593.153341675,777516.831995646
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine","CAR",1915302.50788727,1868177.07022858
"(5Z,8Z)-tetradecadienoylcarnitine","CAR",512819.425427246,486411.91583252
"(7Z,10Z)-hexadecadienoylcarnitine","CAR",788865.632683563,750570.346904755
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine","CAR",770086.818074799,773282.706590017
"(9Z)-3-hydroxyoctadecenoylcarnitine","CAR",4131185.45703278,3726816.61030833
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine","CAR",1559898.14167786,1341648.3904775
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine","CAR",4116367.88929443,3420671.35970052
"[TG(48:0)]_FA16:0","TAG",318932.677319336,250118.315266927
"[TG(48:0)]_FA16:1","TAG",115033.1003479,75594.2017923991
"[TG(48:0)]_FA18:0","TAG",255571.134851074,175755.865844727
"[TG(48:0)]_FA18:1","TAG",246328.742840576,184947.135403951
"[TG(48:0)]_FA18:2","TAG",93353.7501617432,71149.7385482788
"[TG(48:1)]_FA16:0","TAG",226931.975476074,171010.348592122
"[TG(48:1)]_FA16:1","TAG",286733.867871094,230256.995198568
"[TG(48:1)]_FA18:0","TAG",332830.473269653,226470.728042603
"[TG(48:1)]_FA18:1","TAG",236253.626147461,156136.19442749
"[TG(48:1)]_FA18:2","TAG",178463.651812744,150795.421796163
"[TG(48:2)]_FA16:0","TAG",123765.608123779,87393.6357727051
"[TG(48:2)]_FA16:1","TAG",226398.96427002,165726.591705322
"[TG(48:2)]_FA18:0","TAG",379415.922631836,333247.057975769
"[TG(48:2)]_FA18:1","TAG",341196.384358215,235979.086865743
"[TG(48:2)]_FA18:2","TAG",185927.994311523,148317.407613118
