"lipid","logFC","logCPM","LR","PValue","FDR","Length1","Length2","Title_1","Title_2","type","AK0135","AK0140","AK0142","AK0157","AK0169","AK0144","AK0147","AK0154","AK0155","AK0166","AK0168","Blank-1x"
"Cer(d20:0/26:0(2OH))",2.54826609869246,6.45731941670059,53.3918061322165,2.73234148297861e-13,4.09031520001898e-10,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","Cer",48441.9232368469,536324.231441498,0,0,82296.1050834656,11682.6607437134,0,3974.86028671265,21980.9412612915,7081.14064025879,13342.1410598755,11815.6608047485
"LPG(19:0)",2.10834903329691,8.67186672841738,37.5370856172915,8.96913093398991e-10,4.47559633606096e-07,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","PG",74481.1245727539,43673.3228759766,33664.7241210938,2122768.11193848,88214.2086181641,50919.0033569336,20403.0811767578,0,39925.1629638672,22073.1613769531,53576.6240844727,88345.4466552734
"PG(O-20:0)",2.11557134847909,8.65653358701142,37.7796725374374,7.92027845187877e-10,4.47559633606096e-07,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","PG",74636.2847290039,43311.8809814453,33218.2238769531,2090367.7868042,78771.9439697266,46138.3440551758,20065.942199707,0,35900.8410644531,21276.5830688477,44047.1823730469,89735.9464111328
"Cer(t18:0/26:0(2OH))",1.78616708250958,5.6720416109818,27.3775594576559,1.67362145605043e-07,6.26352829926874e-05,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","Cer",32742.2826461792,287616.139427185,5936.50045394897,4475.30028533935,37711.6224441528,14411.1812515259,4302.0002822876,26406.6016387939,16336.4212722778,13524.3408927917,12483.4010200501,3491.1802482605
"PS(O-20:0)",1.75543881664289,8.87800426032661,26.4849258192778,2.65602629331296e-07,7.95214272217899e-05,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","PS",122564.086914062,64516.6248779297,50391.2180175781,1972955.74536133,131606.469604492,41168.1195068359,9838.69775390625,0,43237.5419921875,16064.4191894531,62815.2210693359,133555.991088867
"LPS(19:0)",1.70883499855765,8.98141359348564,25.1488419858431,5.30715126938762e-07,0.000132413424171221,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","PS",97228.5661621094,49310.8059082032,21514.4033203125,2042387.11645508,129282.39050293,17140.5399169922,1510.45977783203,0,25704.7806396484,1407.73962402344,58033.9447021484,161312.191894531
"PG(20:0)",1.17446326184698,7.78858922711244,12.0992133841426,0.000504430989913492,0.1078761702715,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","PG",95093.0061035156,68218.0638427735,52430.3815307617,756159.635559082,99854.0454101562,60088.6244506836,48437.36328125,28592.5822753906,56614.3843383789,46802.2828979492,77310.2053833008,49674.8237304688
"LPG(21:0)",1.15679841677781,7.78975888640663,11.7431030172556,0.000610691208917786,0.114275592468741,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","PG",95890.0275268555,64369.9057617188,50231.6227416992,755211.128173828,88250.5875854492,53226.9834594727,46430.1239624024,29129.9814453125,54959.9849243164,48178.1029052734,81568.9273681641,51033.483581543
"LPS(18:0) | PS(18:0)",1.09358787133948,8.74191004017371,10.510434328206,0.00118702351900481,0.17769742079502,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","PS",411518.090209961,372312.354248047,435902.606323242,170117.769042969,1134852.69128418,73839.1856689453,84055.9458007812,40981.4831542969,201893.156005859,115990.729492188,211867.236938477,90023.5861816406
"LPS(18:0) | PS(18:0)_2",1.09364393794713,8.75063230512525,10.5114998668591,0.00118633924437641,0.17769742079502,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","PS",428406.427001953,369256.049682617,444504.724487305,168147.530151367,1117809.45397949,72427.9630126953,77921.2040405273,43470.3624267578,199671.997131348,118000.046875,211590.793701172,91770.2271728516
"LPS(21:0)",1.02254679244642,7.96383761978025,9.20260394378488,0.00241671110302629,0.30148471010253,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","PS",127903.189941406,84860.70703125,71221.0469970703,768312.604736328,127742.46875,70264.6452636719,60416.4244384766,44456.2631835938,77576.3059082031,63899.1450195312,96010.2484130859,55159.0639648438
"PE(16:1)",-1.05130465883048,7.84844678503963,9.3140358877863,0.00227405008194147,0.30148471010253,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","PE",174510.451629639,108203.468353271,85558.6070251465,110386.147857666,67775.8448486328,37913.2421569824,89519.2853393555,68409.2047424316,124582.228668213,33936.5218048096,1016041.77438354,30637.9022521973
"PS(22:7)",0.996437909625767,7.993248387078,8.74297009328598,0.00310797881118877,0.357895713873046,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","PS",133329.269897461,88558.3079833984,68631.6248779297,769923.137817383,130190.050292969,69827.8254394531,62913.2249755859,47707.3836669922,76010.7668457031,64319.7048339844,102495.066955566,57104.5836181641
"[TG(58:7)]_FA20:0",0.955981921354221,9.76291588921427,8.05338850740736,0.00454186244495992,0.485654862864643,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","TAG",1172919.33181763,791862.222442627,788358.105438232,570204.412017822,3190236.53964233,612470.982025146,362463.248077393,184368.895385742,643347.618255615,516229.966949463,574561.913696289,21032.8815002441
"FA(22:0)",-0.913810997493061,13.0272490279417,7.09236819458217,0.00774128856222555,0.77258059851011,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","FA",5764015.1333313,3424470.2593689,3637349.03555298,3985052.26712036,4821411.54660034,5441457.52920532,5014212.54605103,2452826.73928833,4635194.36904907,6402580.76681519,20729452.0613098,1157658.54037476
"FA(18:1)",0.87136390852001,8.57448286508884,6.69930765928439,0.00964503561625761,0.902413644846103,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","FA",1031252.39245605,0,0,0,820578.194580078,0,0,0,0,671050.173187256,0,238230.075622559
"(11Z)-eicoseneoylcarnitine",-0.337730472832768,10.5944836230073,0.99392585510941,0.318784750491502,0.99749390333739,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","CAR",1100760.66355133,1022415.19480133,827652.416603089,1011875.57944489,885348.080543518,888332.805885315,988424.94846344,838907.762184143,1118046.35727692,926070.56577301,1062686.31797028,285046.478660583
"(11Z,14Z)-eicosadienoylcarnitine",-0.299178513803734,10.5081986222956,0.780966652760981,0.376845665984174,0.99749390333739,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","CAR",1102882.00043869,986718.208080292,732653.487255096,947746.181835175,795620.342235565,822793.639598846,890458.253612518,696130.03068161,1031396.00019455,866649.038890839,1004035.2730217,283604.880786896
"(13Z,16Z)-docosadienoylcarnitine",-0.301309389641287,10.1896189612865,0.79207495339142,0.37347344174138,0.99749390333739,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","CAR",1012010.87998962,736119.57371521,676536.407028198,821165.747665405,782133.158309937,719508.074203491,812551.336288452,594318.644577026,839819.081100464,762751.093490601,936152.762313843,181664.573623657
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.334277335953654,11.1616345888287,0.97382116393419,0.323729037048377,0.99749390333739,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","CAR",2197977.49576569,1624312.38687897,1951602.48978424,1613862.55265045,2188757.61435699,1861701.84830475,1751379.8077774,1682002.07779694,1577206.77274323,2336713.2305069,2000058.68424225,114023.587242126
"(5Z,8Z)-tetradecadienoylcarnitine",-0.27570987746493,9.65709111304623,0.663746602253014,0.415240359542964,0.99749390333739,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","CAR",605958.063659668,497027.836608887,424208.56829834,548605.543395996,488297.11517334,465468.353942871,489774.752624512,358182.209411621,575354.881530762,475974.637390137,553716.660095215,158361.429992676
"(7Z,10Z)-hexadecadienoylcarnitine",-0.285339162254128,10.0857158834911,0.710703109302813,0.399210495432303,0.99749390333739,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","CAR",975729.231975556,743020.949993134,684416.887126923,735474.67130661,805686.423015594,727533.736858368,727798.218547821,564696.622600555,733074.875774384,839439.774456024,910878.853191376,148019.671100616
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.344669554065501,10.1071251540435,1.03494064285042,0.309001070939459,0.99749390333739,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","CAR",973097.469356537,785242.276607514,604297.283565521,757467.456233978,730329.604610443,773708.916255951,699391.951717377,596382.303401947,872322.903011322,779467.417537689,918422.747615814,153256.150943756
"(9Z)-3-hydroxyoctadecenoylcarnitine",-0.20997867873942,12.2456581054979,0.385763736325316,0.534534609785848,0.99749390333739,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","CAR",4546429.33359528,3842240.23789215,3516744.02805328,3898347.49106598,4852166.19455719,4173915.91928864,4324371.40927887,2507638.88047028,3824563.58261871,3315203.76474762,4215206.10544586,341258.060325623
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.154897426509079,10.8509777915427,0.210247786108312,0.646573261111332,0.99749390333739,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","CAR",1772070.41157532,1330218.83418274,1341392.67427063,1471547.71589661,1884261.07246399,1474121.62532043,1471932.50679016,893253.355422974,1331673.63813782,1271084.65693665,1607824.56025696,168484.032516479
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.103850566820082,12.1431450736022,0.0946324294563965,0.758368574522239,0.99749390333739,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","CAR",4627821.23822021,3968038.44372559,3400544.21911621,3769418.46154785,4816017.0838623,3658551.02807617,3877636.75695801,2481575.7376709,3514852.38366699,3139949.20458984,3851463.04724121,263180.440063477
"[TG(48:0)]_FA16:0",-0.113021554034382,8.91363875596425,0.112056651999069,0.737814706642815,0.99749390333739,5,6,"Genotype_ cKO | time point_ 28d ISCI","Genotype_ WT | time point_ 28d ISCI","TAG",393202.569702148,213978.355102539,199577.892456055,340511.29699707,447393.272338867,268181.659301758,224401.077270508,158744.955688477,229832.73449707,278798.963012695,340750.501831055,112665.727172852
