lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,AK0141,AK0145,AK0164,AK0174,AK0175,AK0144,AK0147,AK0154,AK0155,AK0166,AK0168,AK0139,AK0161,AK0170,AK0200,AK0202,AK0204,AK0135,AK0140,AK0142,AK0157,AK0169,Blank-1x
FA(20:0),9.166301163,10.67612972,355.4890645,2.70E-79,4.05E-76,11,11,WT,5xFAD,FA,7961.520512,7977.600578,7975.580578,7970.800552,7956.640556,7962.060558,7282259.104,3481641.436,1868761.908,7970.640549,7967.440536,7966.260536,129144.5103,7959.200504,7964.340546,7952.040527,7947.500576,7961.160515,553515.1601,6023808.559,6672667.421,7981.580582,7982.380608
FA(20:1),7.420773988,9.042434818,270.3908446,9.33E-61,6.98E-58,11,11,WT,5xFAD,FA,7953.260529,7976.28059,11042.18075,7964.840519,7953.040558,7961.680531,1986363.87,1209698.309,838526.0964,7981.800571,7960.600533,2527474.607,15742885.02,21070.66156,15163135.98,7946.460529,7939.080551,7954.340511,82892.9459,403670.6225,337770.3256,14175.24091,7982.560589
FA(19:0),-3.948116356,10.89633019,121.3066044,3.27E-28,1.63E-25,11,11,WT,5xFAD,FA,12380.76085,17100273.71,13906721.65,18006.80114,7951.920563,7960.260559,1059006.323,8068.94059,23827.90169,7966.140564,7956.36055,179186.7509,183937.9532,151746.9506,171232.1931,127475.0684,159951.4125,162826.5712,132018.7695,122010.1708,2211113.559,176559.6553,10814.50089
Cer(d20:0/26:0(2OH)),-2.608794852,6.530738365,58.76489972,1.78E-14,6.65E-12,11,11,WT,5xFAD,Cer,27834.36223,47042.62386,36811.4826,934894.2045,190485.757,23498.32155,10131.40075,15790.52109,33796.60207,18896.80145,25157.80186,181747.5537,184163.9726,136698.6715,174197.6755,128417.1281,167486.8519,164372.2311,133047.8274,122954.1703,2180103.733,168507.8904,11815.6608
FA(20:3),2.647212462,7.721470676,54.93072843,1.25E-13,3.74E-11,11,11,WT,5xFAD,FA,7954.860535,19220.86146,391500.4482,7964.82056,7953.920544,7961.20052,601637.4836,440364.6297,368083.647,7967.140556,7957.880539,30382811.85,1749622.048,1030637.573,3706070.333,1180134.907,1968676.159,1040349.216,160454.2922,7957.600548,7950.060547,3332640.41,7980.98061
FA(18:1),-2.039205701,9.216662951,37.16330518,1.09E-09,2.71E-07,11,11,WT,5xFAD,FA,1138694.064,1552003.739,915327.4682,1626866.467,1097749.074,13787.30093,7953.660561,7970.760578,7946.760551,909280.2488,9939.860661,281896.98,309416.9832,234416.1973,275406.821,204500.4756,255756.1953,258540.7581,210622.9978,182826.5952,2203699.308,290594.5824,238230.0756
FA(15:1),1.889966805,11.32723209,29.91740389,4.51E-08,9.64E-06,11,11,WT,5xFAD,FA,979850.5885,968810.4744,860388.901,1112653.844,1348329.63,3027454.52,2725583.995,1562332.997,1924519.32,1563118.148,1509064.062,267884.7202,294503.0242,227207.9974,273074.8199,192258.2146,253803.5781,256120.078,198072.616,183947.2091,2106511.736,265162.4607,1725227.109
FA(18:0),-1.795609401,12.86936651,29.16505612,6.65E-08,1.24E-05,11,11,WT,5xFAD,FA,9800657.346,14504722.1,9520386.383,13695625.02,12505735.23,9615.780659,7956.460571,7970.400574,7948.500526,10898688.57,7958.540504,7961.540562,899622.759,7953.980541,20633.40142,7945.320518,7940.040546,7956.240555,223156.9365,696611.2299,627392.7228,7978.120544,5543847.184
PI(38:7),1.84366851,10.44408295,28.575457,9.01E-08,1.50E-05,11,11,WT,5xFAD,PI,195565.8953,298579.2418,439657.6077,350556.4214,2336523.448,1355653.263,2403551.46,1299149.879,2572249.93,445671.1892,1684534.108,452580.5347,380938.3259,305529.5638,134219.829,2377474.354,387633.4675,875462.5455,2002109.792,3259074.746,1015253.824,3191525.5,23601.92147
FA(20:4),1.802552429,6.76231516,27.40274522,1.65E-07,2.47E-05,11,11,WT,5xFAD,FA,7954.080547,87791.42691,245836.2373,7965.160572,7951.840534,7961.320515,249878.6178,167608.1119,241488.2369,7966.700584,7959.260536,7964.540581,3387301.239,7954.940529,8603.780624,7946.740524,7940.500557,7957.380547,140044.9894,2109567.696,2693742.127,7978.540581,7981.20063
